"filename", "language", "Python", "CSS", "JavaScript", "XML", "JSON", "Markdown", "pip requirements", "log", "HTML", "Properties", "comment", "blank", "total"
"c:\PFE_PROJECT\ReactJs\elite\Messages.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 11, 89
"c:\PFE_PROJECT\ReactJs\elite\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\PFE_PROJECT\ReactJs\elite\backend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\PFE_PROJECT\ReactJs\elite\backend\README.md", "Markdown", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 23, 85
"c:\PFE_PROJECT\ReactJs\elite\backend\ai_quick_replies.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\PFE_PROJECT\ReactJs\elite\backend\app.py", "Python", 1702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 267, 445, 2414
"c:\PFE_PROJECT\ReactJs\elite\backend\category_routes.py", "Python", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 81, 417
"c:\PFE_PROJECT\ReactJs\elite\backend\file_upload.py", "Python", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 47, 234
"c:\PFE_PROJECT\ReactJs\elite\backend\file_utils.py", "Python", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 23, 118
"c:\PFE_PROJECT\ReactJs\elite\backend\models.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\PFE_PROJECT\ReactJs\elite\backend\quick_reply_model.log", "log", 0, 0, 0, 0, 0, 0, 0, 485, 0, 0, 0, 31, 516
"c:\PFE_PROJECT\ReactJs\elite\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\PFE_PROJECT\ReactJs\elite\backend\task_routes.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 34, 188
"c:\PFE_PROJECT\ReactJs\elite\category_implementation_notes.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 12, 50
"c:\PFE_PROJECT\ReactJs\elite\check_elite_messaging_users.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 20
"c:\PFE_PROJECT\ReactJs\elite\check_pfe_project_users.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 20
"c:\PFE_PROJECT\ReactJs\elite\create_admin_user.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 36
"c:\PFE_PROJECT\ReactJs\elite\package-lock.json", "JSON", 0, 0, 0, 0, 17877, 0, 0, 0, 0, 0, 0, 1, 17878
"c:\PFE_PROJECT\ReactJs\elite\package.json", "JSON", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 49
"c:\PFE_PROJECT\ReactJs\elite\public\google-calendar-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\PFE_PROJECT\ReactJs\elite\public\google-drive-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\PFE_PROJECT\ReactJs\elite\public\google-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\PFE_PROJECT\ReactJs\elite\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\PFE_PROJECT\ReactJs\elite\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\PFE_PROJECT\ReactJs\elite\public\notion-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\PFE_PROJECT\ReactJs\elite\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\PFE_PROJECT\ReactJs\elite\src\App.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\PFE_PROJECT\ReactJs\elite\src\components\AdminMaster.js", "JavaScript", 0, 0, 1046, 0, 0, 0, 0, 0, 0, 0, 25, 76, 1147
"c:\PFE_PROJECT\ReactJs\elite\src\components\AdminPanel.js", "JavaScript", 0, 0, 1095, 0, 0, 0, 0, 0, 0, 0, 31, 76, 1202
"c:\PFE_PROJECT\ReactJs\elite\src\components\AuthContainer.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 8, 11, 111
"c:\PFE_PROJECT\ReactJs\elite\src\components\CategoryDropdown.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 2, 13, 99
"c:\PFE_PROJECT\ReactJs\elite\src\components\CategoryManager.js", "JavaScript", 0, 0, 374, 0, 0, 0, 0, 0, 0, 0, 17, 34, 425
"c:\PFE_PROJECT\ReactJs\elite\src\components\ContactsPage.js", "JavaScript", 0, 0, 379, 0, 0, 0, 0, 0, 0, 0, 21, 43, 443
"c:\PFE_PROJECT\ReactJs\elite\src\components\DashboardPage.js", "JavaScript", 0, 0, 345, 0, 0, 0, 0, 0, 0, 0, 6, 28, 379
"c:\PFE_PROJECT\ReactJs\elite\src\components\GroupChatPage.js", "JavaScript", 0, 0, 2381, 0, 0, 0, 0, 0, 0, 0, 205, 265, 2851
"c:\PFE_PROJECT\ReactJs\elite\src\components\MainDashboard.js", "JavaScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 3, 10, 100
"c:\PFE_PROJECT\ReactJs\elite\src\components\MessagingPage.js", "JavaScript", 0, 0, 2340, 0, 0, 0, 0, 0, 0, 0, 223, 267, 2830
"c:\PFE_PROJECT\ReactJs\elite\src\components\SearchBar.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 6, 63
"c:\PFE_PROJECT\ReactJs\elite\src\components\SecurityPage.js", "JavaScript", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 14, 35, 251
"c:\PFE_PROJECT\ReactJs\elite\src\components\SettingsPage.js", "JavaScript", 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 10, 23, 279
"c:\PFE_PROJECT\ReactJs\elite\src\components\Sidebar.js", "JavaScript", 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 14, 32, 337
"c:\PFE_PROJECT\ReactJs\elite\src\components\SignInForm.js", "JavaScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 3, 20, 157
"c:\PFE_PROJECT\ReactJs\elite\src\components\SignUpForm.js", "JavaScript", 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 10, 35, 336
"c:\PFE_PROJECT\ReactJs\elite\src\components\TaskManagement.js", "JavaScript", 0, 0, 821, 0, 0, 0, 0, 0, 0, 0, 46, 66, 933
"c:\PFE_PROJECT\ReactJs\elite\src\contexts\AuthContext.js", "JavaScript", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 25, 34, 181
"c:\PFE_PROJECT\ReactJs\elite\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
