Date : 2025-05-10 14:15:14
Directory : c:\PFE_PROJECT\ReactJs\elite
Total : 77 files,  47120 codes, 1391 comments, 4627 blanks, all 53138 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          3 |     17,950 |          0 |          3 |     17,953 |
| CSS              |         22 |     15,406 |        270 |      2,724 |     18,400 |
| JavaScript       |         26 |     10,576 |        694 |      1,113 |     12,383 |
| Python           |         13 |      2,525 |        427 |        680 |      3,632 |
| log              |          2 |        485 |          0 |         32 |        517 |
| Markdown         |          3 |        138 |          0 |         68 |        206 |
| HTML             |          1 |         25 |          0 |          1 |         26 |
| pip requirements |          1 |         11 |          0 |          1 |         12 |
| Properties       |          1 |          3 |          0 |          1 |          4 |
| XML              |          5 |          1 |          0 |          4 |          5 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                               |         77 |     47,120 |      1,391 |      4,627 |     53,138 |
| . (Files)                                                       |         12 |     18,219 |         38 |        105 |     18,362 |
| backend                                                         |         11 |      2,946 |        389 |        690 |      4,025 |
| public                                                          |          6 |         50 |          0 |          6 |         56 |
| src                                                             |         48 |     25,905 |        964 |      3,826 |     30,695 |
| src (Files)                                                     |          8 |         65 |          4 |         14 |         83 |
| src\components                                                  |         17 |     10,265 |        638 |      1,040 |     11,943 |
| src\contexts                                                    |          1 |        122 |         25 |         34 |        181 |
| src\styles                                                      |         20 |     15,394 |        270 |      2,721 |     18,385 |
| src\utils                                                       |          2 |         59 |         27 |         17 |        103 |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                        | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\PFE_PROJECT\ReactJs\elite\Messages.js                        | JavaScript       |         78 |          0 |         11 |         89 |
| c:\PFE_PROJECT\ReactJs\elite\README.md                          | Markdown         |         38 |          0 |         33 |         71 |
| c:\PFE_PROJECT\ReactJs\elite\backend\.env                       | Properties       |          3 |          0 |          1 |          4 |
| c:\PFE_PROJECT\ReactJs\elite\backend\README.md                  | Markdown         |         62 |          0 |         23 |         85 |
| c:\PFE_PROJECT\ReactJs\elite\backend\ai_quick_replies.log       | log              |          0 |          0 |          1 |          1 |
| c:\PFE_PROJECT\ReactJs\elite\backend\app.py                     | Python           |      1,702 |        267 |        445 |      2,414 |
| c:\PFE_PROJECT\ReactJs\elite\backend\category_routes.py         | Python           |        296 |         40 |         81 |        417 |
| c:\PFE_PROJECT\ReactJs\elite\backend\file_upload.py             | Python           |        152 |         35 |         47 |        234 |
| c:\PFE_PROJECT\ReactJs\elite\backend\file_utils.py              | Python           |         80 |         15 |         23 |        118 |
| c:\PFE_PROJECT\ReactJs\elite\backend\models.py                  | Python           |         33 |          0 |          3 |         36 |
| c:\PFE_PROJECT\ReactJs\elite\backend\quick_reply_model.log      | log              |        485 |          0 |         31 |        516 |
| c:\PFE_PROJECT\ReactJs\elite\backend\requirements.txt           | pip requirements |         11 |          0 |          1 |         12 |
| c:\PFE_PROJECT\ReactJs\elite\backend\task_routes.py             | Python           |        122 |         32 |         34 |        188 |
