"filename", "language", "Python", "JavaScript", "Markdown", "XML", "JSON", "HTML", "CSS", "pip requirements", "log", "Properties", "comment", "blank", "total"
"c:\PFE_PROJECT\ReactJs\elite\Messages.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 89
"c:\PFE_PROJECT\ReactJs\elite\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\PFE_PROJECT\ReactJs\elite\backend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\PFE_PROJECT\ReactJs\elite\backend\README.md", "Markdown", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 23, 85
"c:\PFE_PROJECT\ReactJs\elite\backend\ai_quick_replies.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\PFE_PROJECT\ReactJs\elite\backend\app.py", "Python", 1819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 300, 474, 2593
"c:\PFE_PROJECT\ReactJs\elite\backend\category_routes.py", "Python", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 81, 417
"c:\PFE_PROJECT\ReactJs\elite\backend\encryption.py", "Python", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 24, 129
"c:\PFE_PROJECT\ReactJs\elite\backend\file_upload.py", "Python", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 47, 234
"c:\PFE_PROJECT\ReactJs\elite\backend\file_utils.py", "Python", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 23, 118
"c:\PFE_PROJECT\ReactJs\elite\backend\models.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\PFE_PROJECT\ReactJs\elite\backend\quick_reply_model.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 485, 0, 0, 31, 516
"c:\PFE_PROJECT\ReactJs\elite\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\PFE_PROJECT\ReactJs\elite\backend\task_routes.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 34, 188
"c:\PFE_PROJECT\ReactJs\elite\category_implementation_notes.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 12, 50
"c:\PFE_PROJECT\ReactJs\elite\check_elite_messaging_users.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 20
"c:\PFE_PROJECT\ReactJs\elite\check_pfe_project_users.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 20
"c:\PFE_PROJECT\ReactJs\elite\create_admin_user.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 36
"c:\PFE_PROJECT\ReactJs\elite\package-lock.json", "JSON", 0, 0, 0, 0, 17884, 0, 0, 0, 0, 0, 0, 1, 17885
"c:\PFE_PROJECT\ReactJs\elite\package.json", "JSON", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 50
"c:\PFE_PROJECT\ReactJs\elite\public\google-calendar-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
